class,tweet
1, 8220 dont take advantage of a nice person8221 hoes everyjuan
1,
1, sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday
1, cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
1, ewww i said that last sundayas in the last sunday i was there read it again nigs128563128563128563128563128563
1, i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
1, my pussy still fresh lt something stank girls say
1, ass slapping is one the greatest things haha 128527 i slapped a girl on the ass she got mad i aint get pussy for a week
1, yeah texans are so much better you fucking retard i see that youre mad about this
1, nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackampmilds out here
1, theres a lane some bitches need to stay in 128526 the left n get right the fuck outta our face 128557128129128536
1, i hate when boys deny that they have bitches 128080128553 smh
1, ya nigs out there still saying yall dont eat butt with a straight face
1, im a boss ass bitch that needs to sit in a corner
1, hes a hoe i cant
1, me and paul thinkin bout gettin rentals for da weekend 128665128168128168oooh shit bitches betta stay out da streets
1, bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story 128564
1, why do my friends hate me because you a ratchet hoe
1, no love for these fuck niggas hoes
1, hot meat sexy as fuck scally lad i would love to meet him and his trainers
1, sniff perved up scally lad fuck yeah
1, these bitches love sosa
1, 8220 i legit watched it for about 30 or 40 seconds 1285298221so did i wtf prob cause were retarded smh
1, what should i name my cat ideas mr pussy
1, woof woof sexy thug boy scally
1, u see the damn phone ringing 128547128530128542 when you married bitches makes demands you havent called me
1, tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe
1, 10 sex positions this what u call fucking the soul outta bitch 128557
0, is bored supposed to be cute you faggot sometimes
2, one mans trash 128686 is another mans treasure 127942
1, i dont got no type bad bitches is the only thing i like iongotnotype
0, lassen cc the coach wants me i feel it youll get more my nig no doubt
1, god teeth gold chain white bitches cocaine
1,
1, in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe
1, im gonna miss that bitch of a bus driverno you wont dont lie
1, hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone 128293128293128293 on my soul
2, ashley young has tried to deny that bird s landed in his mouth gt hahaha
1, yall both gimped up aint tht a bitch huh lol
2,
1, oh my god i love victoria mitchell all my bitches love me
1, that long distance shit wack i knew the bitch was cheating uh oh
1, hes doing it right 128525128120128158 no bitches smh
1, they ban dat pussy for life amp he gotta pay 25 millon dollar fine
1, roses are red and violets are blue and niggers are black you know thats true 
2, sitting on my window sill window open bird tries to fly in smacked it protecttheanimals 
1,
2, a video an entire media will likely mock i am such a crybaby
1,
1, tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh 128514128514128514128514
1, karma is a bitch damn godprotectshisangels 128588 sips tea
1, fuckin hot gym pussy fuck yeah
2,
1, you can call me fireman cause i turn the hoes on
1, i could never have a bby by a lil dick thts y i got a aboion by the last bitch oh my god
1, watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
1, and smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded
2, tweety bird tho 128514128514128514128514
1,
2, when twitter rappers dm me their trash links 
1, loud bitches annoy me
1, eventually every bitch turns into that hoe truuu
1, i swear if oomf try talking to me tomorrow pussy
1, you bitches be pretending to be tf crazy you aint never lied
1,
0, jackies a retard blondeproblems at least i can make a grilled cheese
1, ima keep on giving these pussy ass niggas ah reason to hate 
2, photo he is in sole heaven
0,
1, side bitch sunday 128514128514128514 128514128514128514
1, facts what baldheaded bitch made this shit 128074128074128555128530 lmao 128553128514
1, fuck wit us and then we tweakin hoe shmurda
2, we actin like its the 7th day 128123spook
1, ill break that lil bitch neck and wont even feel sorry about it savage
1, this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies
1, yall dumb ass niggas be so pressed to have hoes yall weak as fuck as fuck weed over hoes oreos too
1, i can turn yo bitch into a eaterrrrrrrrr
1, i dont trust dese hoes nikki told 51st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn
1, 8220 aye yall ima tryout for the bowling team frfr8221 tryouts passed tho no theres two more retard
1, now u got what u want bitch enjoy it now this is a crazy pay i would love to attend
2, colored contacts in your eyes blinders on mine cause i cant see you at all lmao
1, facts only the dudes with hoes say they dont got hoes8221 
1, im rea sta smacking bitches period bluffin at its best
1, lifes a bitch and then you die thats why we get high cause you neva know when youre gonna go my sister is perfect 
1, one of us is on drugs and its me but youre still wrong 128514 hahahahahahah im a bitch sometimes 
1,
2, swears im 1 man easily easily behind austin nip
1, this is a true ride or die bitch 128175 what the fuck hahahahah
2, hgwells and charlie chaplin history photography
1, all i see is brunos bitch ass on my twitter now wtf brunos all that she sees drake voice
1, im about to cool faggot chill tf is cool nigga
1,
1, twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet
1, got a couple bitches saying they know me but i8217ma let the money talk for me 128526128076 and im like wwyd
1, grudges are for weirdosand bitches
2, i told mariam to but cigarettes for her bihday you also called me trash rn
2, brownies tonight what kind
1, no text back i dont give a fuck ill text another bitch damn someone is hu lol
1, ummmmmm okay you got hoes from left to right 128514128514 do yah thang
1, using ymxb to find the slope of that ass
2, fit lads nice gear these scally lads n trainers would get it
1, hell yeah bro fuck yeah sexy scally lad in hot gear
1, helping out a mate i love scally play fuck yeah
1, lads being lads fuck yeah i love scally lad action hot trainers too
1, next year bitches is gonna be like you gotta promise you wont expose me 128514128514128557
1, 8220 so hot lick it bitch fuck yeah eat that trainer u diy fucker
1, 8220 yall think celebrity pussy different from the locals 1285148221 yeah meghan goods is
2, i saw an ajumma walk out in the beginning saying wow this is so trash that i cant even listen to it 128514 lmaoo
1, need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks
1, i dont ever expose females like that thats childish bitch nigga shiiii
1, yasss trys new things with bestfriend bitch who do you love
2, dude remember this wop video omg where did you find that
1, thick raw fuck damn his man pussy is getting a workout
2, rawr my sexy french scally i love him frenchscally sexy scally woof woof
1, nothin in life is free some of you bitches need to write that on ya panties128557128514
1, if one of you bitches want some of my burrito u can catch me at potosino huh haha
1, niggas whole hoes out here cuz couldnt had said it better128588
1, hardcore way to eat mac and cheese 1 boil water 2 sno cheese powder 3 drink boiling water 4 fuck bitches
1, yourenotmytype if my fade is perpetually fresher than yours thats a real ass bitch rite there
1, annoying bitch that i love judyanns so pretty
1, lmao bitch got on some huggies
1, hi bitch no bitch bye bitch 
1,
1, chase money 128176 not 128581 hoes 128111 12817512817558399583995839958399
1, cant stand a i dont know what i want ass nigga 128564 bitch
1, im on my way love a chavhot sexy scally fucker
1, these newly gay bitches dont kno how shit works
1, when a bitch dont want a real job they just become strippers lol lol
1, awww meat meat in his feelinsi ainn n my feelings bitch
1, i want snake bites my industrial piercin amp a tattoodem hoe accessories dea 1280641280641280569749
2,
1, these hoes aint loyal
1, yassssss ordered chinese 128079 bitch you just ate tacos you fat fuck
1, i made that bitch lunch bitches love lunch
1,a no brainer but as soon as this bitch gets rich in political power her views will change political whores 
1,a pussy a day keeps the devil away 
1,aint that about a bitch what does that mean
1,all these bitches want a baby i dont want no children
1,and bitch you must be lost 128514128514
1,baby i like being on your left side no bitch you cant be there cuz the street on that side and twitter said i aint real if you do
2,bae sounds like such a ghetto word use something else
1,batter the wee cunt jewis y cos he fucked my ex emma isnt battering the girls ive nailedive moved onstop being a pussy n do it urself
1,bleed out hoe alexa
1,boolin in the bando wit a few bitches
2,brownies for my brownie i love this movie 128517
1,but i need a bad bitch thats hotter than me might be the realist shit paynextdoor ever said thats how i be feelin everyday
1,by the way we do punch bitches
1,caesar is home 8220 so much this bitch looks like lets sta with ape shit8221128557128557
2,chinese maverick we were communicating comrade u know giving the imperialist yanks the birdie 
1,dad say hi to my snapchat dad 999665039999665039 duces bitch 128514128514128553128553
1,do you believe these hoes are not in fact loyal i disagree with that i do believe they are in fact the loyalest bunchthese hoes
1,dont know no ugly bitches dont know no broke niggas
1,dont make me make you fall in live with a nigga like meee the birds 1amp2 are my favorite songs by weeknd
0,dont worry about the nigga you see worry about the nigga you dont see dats da nigga fuckin yo bitch
1,dont you ever give my pussy away you keep it tight alright
1,dropped a stack cause bitch im on song called dope download the mixtape here 
1,dumb bitches do dumb things
1,eat the pussy like a real nigga hungry
1,eff it lets go after the cripple 
1,everything look better with a bitch next to it
1,facto who cares if you a hoe when your ass looks like this 
1,for every bad bitch there is a nigga tired of fucking her
1,foreign chick no lie man that bitch beautiful
1,fresh nigga so you kno i need a clean bitch who kno im working cuz i wanna see my team rich 
1,fuck 50 i make my own rules suck my dragon balls bitch call me goku
2,generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird _ 
1,get me that shit bitch you is fine bear
1,get your ass back to detroit ya fuckin wigger
1,girls that i dated its okay i aint mad yo unless you stabbed me in the hea no love hoe
1,how do you know my twitter password bitch please
1,have you seen my shows have you seen my hoes if i wasnt hot would they be so thick
1,he a bitch for hitting that hoe 128514128514128514128514128514128514128514128514128514
1,he married to a white woman lucky sumbitch uncle ruckus
1,he wanna be my nigga but im just trinna be his savings account 128553 128514128557128514128557 omg imma funny ass bitch man but thats real shit 128175
1,her great grandmas a hoeher grandmas a hoeher moms and a hoe and shes a hoe its a long line of hoes grandpa carl everyone
0,hey go look at that video of the man that found the kidnapped girls in ohiowhat a nigger shitmybosssays
1,hey pussy you still there
2,how about we draft all those gungho folks and send them to afghanistan or other war zones so they can show their 
1,how hotter than is it a bitch
1,how u talking to hoes bout bro n em why you talking to hoes bout bro n em
1,how you doing crazy bitch is hilarious
1,i know my shoes diy as fuck whatever bitch you dont have to call like negro one of the first things they look at is shoes dog
2,i am a thrill billywith a hillbilly hea hahahahaha jesus murphy
1,i call him my bitch 
1,i cant handle no liquor but these bitches cant handle meeedd chief sosa
1,i dont chase after dudes i chase after bitches edgar bautista
1,i dont love these hoes baby its me and you forever
1,i dont even need a picture of tamar that bitch is beat in every picture128514128557128514128514128514
1,
2,i found a new way to chug you have to open your mouth alot shitallysays
1,i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her
1,i got a bitch set it off like jada picketqueen latifah you riding round with your nieces bitch you titi
1,i got a sister she told me stop calling women bitches
1,i guess this is the night bitches die stewie is that nigga
1,i had a bitch that had a bitch had the bitch eating halibut freshrhymes jerksquad slowstir
1,i have this ladylove shes married but i still wanna bang her she wont have sex with me what a bitch a troubadour probably
1,i heard you was looking for candy man bitch
1,i hope you dont get mad ladies i only call you bitches bitches bc i dont know your names individually katt williams 
1,i just got a number 3 im a bitch boy
1,i know that shit eatin grin you either just fucked the girl of your dreams or you sold a car we know youre a faggot whatd you sell128514
1,i only be with older men cause theyre more mature that supposed to fool us bitch
1,i prolly leave up out this bitch with my cups in my hand and yo hand in my other hand
1,i said i dont like it it tastes like wolf pussy what how do you even know what that tastes like
1,i taught myself how to eat pussy and cut my own hair i taught myself how to eat pussy hair128514 name the movie 128514
1,i used to dress up like a cop too oh really yeahright after 911mad pussy really yesill never forget
1,i went to jail for a flock amp came home wit a strike you went to jail as a bitch came home as a dike 
1,i will fuck u where u stand u dizzy bitch two unique amp separate phrases i overheard a relative saying when i was younger
1,i woke up like thi bitch go back to bed
1,i would rather you call me bitch than sir my manager
1,ill beat on that pussy so hard
2,ill slit your throatneck 
1,im a funky ass honkey s shout out to tonight before cabaret 128514 jt2020tour
1,im comparing kfc to the pussy 
1,im downloading you a new personality and ordering you a new face you bitch i love you goddamn it axl rose yelling at his sex robot
1,im feelin like malcolm in the middle these bitches surround me they cant miss em
1,im gonna piss on your dimple stop wasting prayers on trash teams lol
1,im probably your main bitch chocolate dipped cinnamon apple
1,im sick of his shit man sit his bitch ass im fed up bro geno threw yet another pick smh
1,im sorry i fucked yo bitch but she really dig a nigga 
1,ibs irritable bitch syndrome
1,if you love her then hide yo bitch so youll keep shoy 
1,if you talk back to me you aint getting no pussy me 
1,if youre a bad bitch put your hands up high every girl in the room stas waving there hands around
1,imma tie that bitch up in the basement and donkeyfuck her ass for two weeks straight hahahahahahahahaha 50centmovie beforeiselfdestruct
1,in my mind gotta be the dumb hoe anthem
2,is that an albino mexican no dad hes asian
1,it takes a true directioner to accept larry you know what bitch its fans like you that make the boys cry thankyoupaulforconfirminglarry
1,its allegations were u in the bedroom did u see it words of a naive amp blind bitch we know ur husband cheated on u ramona is dumb
1,its never too late to tag a bitch 
1,its the dykes hunter dyke with a dyke 
1,julia robes youre a ho nottinghill
2,just follow the yellow brick twitter
1,
2,lol cripple wendy davis scientists create remotecontrolled chick to study shy penguins 
1,lets do nips ahoy and spank me maybe
0,lets kill cracker babies wtf did i just hear wow
1,like correct me if im wrong but doesnt pimpin involve smackin bitches for money
1,
1,lmao the drose adidas are lighter than my phone shit is retarded
2,
1,maybe she wants to be more than your friend or maybe shes a stupid bitch you never know until you make her cum 128514128514128514
2,mine plays dmx and kirk franklin smh well my neighbors are ghetto they get up at like 5am and beat their kids
