text,hate label,hashtags,source,user_created,user_friends,user_favourites,is_retweet
33 w thoughts on phil parkinson blm tackling racism his love for bu,0,['BlackLivesMatter'],Twitter for Android,10-09-2018 18:58,555,37616,False
good morning s today would be a great day 2 arrest breonnataylor killers ijs blacklivesmatter justiceforbreonnataylor,0,['BlackLivesMatter'],Twitter for iPad,24-08-2016 13:18,736,131454,False
heartbreaking hang your heads in shame blm where are you when this shit is happening,0,['TwitterRacists'],Twitter Web App,21-08-2017 16:45,2321,208424,False
white women have yet to be held accountable for false allegations made against black men 400 years and counting,0,['BlackLivesMatter'],Twitter for iPhone,11-09-2017 00:52,220,17065,False
what we know for sure is that blacklivesmatter will not be holding any protests or vigils for bernelltrammell because his view,0,"['MeToo', 'BLM']",Twitter for iPhone,15-06-2020 13:51,140,14683,False
blm is not really about black lives at all it is an lgbt sjw movement disguised as a black civil rights,0,['BlackLivesMatter'],Twitter for iPhone,23-07-2016 12:53,179,3164,False
the whole video is worth a watch take the 20 minutes acting in small ways every day to help anyone who is oppres,0,['BlackLivesMatter'],Twitter for Android,24-02-2019 12:45,1570,60007,False
this reaches to a core issue with black white relations since the blm protests started police officers like any,0,['BlackLivesMatter'],Twitter for iPhone,28-03-2019 22:59,11399,21537,False
join for joint online event inclusion blacklivesmatter on 1oct2020 to include,0,"['BLM', 'CostumeChange']",Twitter Web App,25-01-2017 12:38,1187,12995,False
top 4 most tweeted tags in 24 hours worldwide hbdmaheshbabu 60 2m twitterbestfandom 60 05m,0,['BlackLivesMatter'],Twitter for Android,16-03-2012 17:49,1636,45003,False
so last night i received a very disturbing phone call from the ramsey skeens the man in the video and here it is thes,0,['BlackLivesMatter'],Twitter Web App,21-06-2019 18:08,162,5569,False
yet again portland turns out a massive crowd to march for blacklivesmatter portlandprotests pdxprotests,0,"['BlackLivesMatter', 'BlackExcellence', 'beastmorphers', 'RPM']",Twitter for iPad,22-05-2013 05:17,3801,127314,False
crowds are assembled in front of the portland police association building the crowd is chanting the portlandmoms ar,0,['BlackLivesMatter'],Twitter for iPhone,24-04-2020 21:06,4890,6658,False
,0,['BlackLivesMatter'],Twitter for Android,26-06-2016 15:26,1167,20578,False
great to see so many idiotic comments made by haters jericho said blacklivesmatter but of course w,0,['BlackLivesMatter'],Twitter for iPad,17-04-2016 14:02,184,16723,False
when my libido is the highest subscribe now find out incest transexual erotic livestream buyingudes,0,['BlackLivesMatter'],Twitter for Android,16-11-2019 05:36,554,5442,False
youtubers forget people of colour are their subscribers melanin blacklivesmatter,0,['BlackLivesMatter'],Twitter Web App,08-04-2012 00:45,4682,179418,False
in a pincer movement portland police kettled protesters and carried out mass arrests on n interstate ave many pro,0,['COVID19'],Twitter for iPhone,02-12-2017 14:18,92,11735,False
dammit again our nation really needs to gut law enforcement and start over 1st with education on civil rights,0,['BlackLivesMatter'],Twitter for iPhone,20-06-2009 18:22,5001,30236,False
africa live love laugh the quintessence d afrique blacklivesmatter blackisking africamatters new,0,['BlackLivesMatter'],Twitter Web App,04-03-2018 20:53,850,12721,False
tony mcdade saytheirnames blacklivesmatter,0,['courtesy'],Twitter for iPhone,27-08-2014 21:17,890,11045,False
chicagoprotests chicagoriots chicago hey watch out for news cameras and cctv if you are taking stuff from the sto,0,['BlackLivesMatter'],Twitter for iPhone,10-05-2020 09:51,676,16289,False
the crowd has arrived at the portland police association building this is the police union organization for the ci,0,['BlackLivesMatter'],Twitter for iPhone,16-01-2017 15:28,332,3327,False
vote racism and corruption they are getting richer while blm latinos vets seniors are d,0,['BlackLivesMatter'],Twitter for iPhone,22-03-2017 12:18,248,18485,False
privilege stops her accepting your lived experience i totally accept,0,['BlackLivesMatter'],Twitter Web App,01-08-2020 06:24,499,402,False
ivehadenoughof current america this close to the election of a potus i can only motivate you to vote for your,0,['BlackLivesMatter'],Twitter for Android,24-04-2009 16:52,1318,52763,False
sad to say but apparently the movement you mention has not moved much but i am cautious,0,['BlackLivesMatter'],Twitter Web App,12-02-2011 19:27,220,8385,False
bet successfully came through 1million is real and good bbnaija2020 bbnajia bigbrothernaijalockd,0,['BlackLivesMatter'],Twitter Web App,24-11-2008 22:00,65,7660,False
nicholas pinnock on itv live now talking the tings tell them blacklivesmatter thismorning,0,['blm'],Twitter for iPhone,16-11-2011 03:29,1135,2118,False
peaceful protest another blm street mural should help relations,0,['BlackLivesMatter'],Twitter for Android,20-06-2020 18:00,117,7803,False
there is a parade heading through the streets of boise idaho today led by inclusive idaho the message blacklivesmatte,0,"['MeToo', 'BLM']",Twitter for iPhone,15-09-2017 14:54,1011,10568,False
same thing we do every night pinky what is the that brain dance to ac dc in leiderhosen narf no pinky humil,0,"['ChicagoRiots', 'Blacklivesmatter']",Twitter for iPhone,02-10-2019 23:03,192,6593,False
say her name shukriabdi shukri abdi a 12 year old somali refugee drowned in a river in greater manchester her,0,['BlackLivesMatter'],Twitter for iPad,26-06-2009 13:38,3233,58504,False
the story on the blacklivesmatter protest in douglascounty is now up check it out,0,['BlackLivesMatter'],Twitter for iPhone,25-08-2019 11:16,426,70127,False
police moved their line forward a bit blacklivesmatter protest pdx portland oregon blm acab portlandprotests,0,['BLM'],Twitter for iPhone,12-12-2018 16:46,11,17,False
,0,['BlackLivesMatter'],Twitter for iPad,31-03-2017 14:21,549,64835,False
s adds are quite ridiculous but this this is straight up offensive are you kidding me,0,"['DefendPDX', 'portlandprotests', 'pdxprotest', 'blacklivesmatter']",Twitter Web App,04-05-2019 16:46,33,18652,False
what a ploy sabotage par excellence now keep watching blm as cover for looting shopping malls,0,['BlackLivesMatter'],Twitter for Android,10-10-2016 16:22,1168,12319,False
august 13th aunjanue ellis will be live on instagram w marquise hunt it is leo season and is not a leo,0,['BlackLivesMatter'],Twitter for Android,11-01-2020 19:00,116,467,False
listening to speakers at peninsula park for portlandprotests blacklivesmatter,0,['BlackLivesMatter'],Twitter for Android,01-06-2020 04:16,504,8983,False
blacklivesmatter rioters in portland complaining police were too quick to designate them a riot and did not give them enough warning,0,"['MeToo', 'BLM']",Twitter for Android,21-04-2009 22:09,381,1673,False
i would vote for him twice if he shot william wilhelm on 5th ave on the blm graffiti,0,"['BlackLivesMatter', 'BLM', 'BL']",Twitter for Android,13-01-2013 02:05,385,98098,False
getting paid 500k and ripkamala getting paid 10k for a match is just wrong why are we not stand,0,"['BLM', 'ProtectBlackWomen']",Twitter for Android,23-05-2010 23:35,1044,2304,False
personally i believe blm is causing the animosity,0,['BlackLivesMatter'],Twitter for Android,23-11-2013 05:46,424,16153,False
,0,"['rip', 'BlackLivesMatter']",Twitter for iPhone,09-08-2019 22:29,112,2,False
same here guys please file a complaint because in the season of blm the bbc are really showing themselves to be bl,0,['BlackLivesMatter'],Twitter for Android,30-07-2015 05:49,1148,4752,False
portlandprotests portlandprotests i live 8 miles from ppa and hear the munitions as a veteran bay area protest,0,"['나는_샘_오취리와_연대합니다', 'I_Stand_with_Sam_Okyere']",Twitter for Android,10-02-2018 21:38,286,9831,False
felix s story is over on the dedicated why black lives matter tumblr account,0,"['BenShapiro', 'BlackLivesMatter']",Twitter Web App,07-09-2019 20:12,1137,14774,False
11 23pm s powerful speech on black history in oregon ringing through the streets near ppa feel fr,0,['blm'],Twitter for iPhone,26-01-2009 06:21,1376,8854,False
black americans are twice as likely to die from myeloma than white americans yet 50 of myeloma trials performed in th,0,['BlackLivesMatter'],Twitter for iPad,25-11-2015 11:18,6417,50443,False
will debate anyone on zoom right now live on youtube we can debate anything from abortion to trump antifa covi,0,['BlackLivesMatter'],Twitter for iPhone,10-10-2018 20:31,3426,37181,False
where i live there was going to be a blm march the police arrived just before the march started,0,['BlackLivesMatter'],Twitter for Android,21-03-2016 12:42,5642,75928,False
top 4 most tweeted tags in 24 hours worldwide hbdmaheshbabu 60 2m twitterbestfandom 60 05m blacklivesmatte,0,"['SturgisMotorcycleRally', 'BlackLivesMatter']",Twitter for iPhone,01-12-2012 13:44,1338,208927,False
very excited to chair this panel on monday 3 august w the brilliant,0,['BlackLivesMatter'],Twitter Web App,14-06-2017 17:34,5508,59837,False
yesterday my brother who has autism brought up the issue of police brutality he is so switched on to the news an,0,"['SturgisMotorcycleRally', 'BlackLivesMatter']",Twitter for Android,12-01-2019 02:25,36,6271,False
thank you all for getting this veteran fbr resist bluewave2020 blacklivesmatter blm over 1000 followers can,0,['BlackLivesMatter'],Twitter Web App,14-06-2017 17:34,5508,59837,False
correction not former mayoral candidate write in mayoral candidate writeinteressaraiford,0,['BlackLivesMatter'],Twitter Web App,24-10-2019 18:40,788,13173,False
this is a weird way of ryan to say he does not support blacklivesmatter,0,['BLM'],Twitter for iPhone,18-05-2012 01:34,85,8300,False
the way i choose demo reel 1 by bad company americaortrump wearadamnmask,0,['BlackLivesMatter'],Twitter for Android,08-04-2019 01:10,144,6991,False
no police rush yet lots of lrad warnings blacklivesmatter protest pdx portland oregon blm acab portlandprotes,0,['BlackLivesMatter'],Twitter for iPad,08-05-2011 19:06,1097,63432,False
charles wade a blm co founder sextrafficking blacklivesmatter,0,"['BlackLivesMatter', 'BlackExcellence', 'beastmorphers', 'RPM']",Twitter for Android,06-09-2018 22:04,40,318,False
i am ready for this school year it is going to be the best year ever you made my locker,0,['BlackLivesMatter'],Twitter for iPhone,13-11-2016 02:57,189,7407,False
i cannot stand the term nigga it is abundantly used within the black community on social media and inadvertently,0,['BLM'],Twitter for iPhone,06-05-2009 18:10,3410,47611,False
how horrifying blacklivesmatter,0,['blm'],Twitter for iPhone,11-08-2019 19:48,232,4383,False
so i ask blm then why are there so many killings and shootings taking place in louisville that is not the cops,0,"['Solidarity', 'BlackLivesMatter']",Twitter for Android,25-12-2017 10:23,4368,385579,False
when my client showed up for settlement with her black lives matter mask it was a reminder of how buying a home,0,['BlackLivesMatter'],Twitter for iPhone,13-06-2019 13:43,239,848,False
georgefloyd if he was still alive blacklivesmatter alllivesmatters,0,['BlackLivesMatter'],Twitter for iPhone,30-11-2016 22:12,110,36555,False
he is right this is all going to backfire for the dems blacklivesmatter crowd the silent majority is g,0,['BlackLivesMatter'],Twitter Web App,14-06-2017 17:34,5508,59837,False
maybe because the incompetent mayor has shown so much contempt for the nypd they someti,0,['BlackLivesMatter'],Twitter Web App,08-11-2018 20:23,411,37872,False
a retromullet video post from jun 17 2020 mulletclipping deeper along the iceberg are municipal courts fine col,0,['PortlandPolice'],Twitter for iPhone,05-02-2019 17:04,35,1141,False
let me add that the national media has not even noticed what is happening to blacklivesmatter protesters here in mis,0,['BlackLivesMatter'],Twitter for iPhone,31-10-2012 13:15,349,58759,False
some of the paint from tonight blacklivesmatter protest pdx portland oregon blm acab portlandprotests pdxpro,0,['BlackLivesMatter'],Twitter for Android,27-02-2016 18:16,1318,60894,False
kara mcgann opens the building inclusive workplaces race equality hub for employers event,0,['BreonnaTaylor'],Twitter Web App,19-06-2020 16:33,241,178,False
when it comes to protests the how is the important thing not the why groups of protestors doesn,0,"['나는_샘_오취리와_연대합니다', 'I_Stand_with_Sam_Okyere', 'BlackLivesMatter']",Twitter for Android,10-02-2018 21:38,286,9831,False
keeping dreaming big keep aiming high and do not forget to work smart all the best friends and pls stop unfoll,0,"['theumbrellaacademy2', 'GeorgeFloyd']",Twitter Web App,20-12-2019 12:48,26,28,False
how is blm about politics has nothing to do with that at all,0,['BlackLivesMatter'],Twitter Web App,23-08-2015 21:30,191,41388,False
dear mr president sir blacklivesmatter unlike who upon death becomes ash,0,['BlackLivesMatter'],Twitter Web App,02-02-2017 23:41,4925,48493,False
it is mon august 10th 2020 as 1 humbled voice i am demanding the immediate removal of shitler45 impeached bunkerba,0,['BlackLivesMatter'],Twitter for iPhone,07-06-2020 12:07,97,59,False
10 05pm lrad 3 threatening specific crowd control tactics again impact munitions and teargas riot cops spotted co,0,['BlackLivesMatter'],Twitter for iPhone,07-12-2009 23:38,135,3512,False
fab list walt chockablock with resisters inwas not conneced with but am now we are stronger together and the m,0,['BlackLivesMatter'],Twitter for Android,22-02-2013 19:05,279,9280,False
dear blm blacklivesmatter remember ferguson and biden and obama showed no sympathy for what cops did you thoug,0,['BlackLivesMatter'],Twitter Web App,02-04-2020 21:51,2498,24883,False
they shoot reporters do not they reporter hamzamaali was shot live while covering colonialsettlers and iof stealing,0,['BlackLivesMatter'],Twitter for Android,18-04-2013 22:36,637,864,False
it is interesting that every time the proudboys are in seattle there are riots seattleprotest,0,['BlackLivesMatter'],Twitter for iPhone,13-12-2016 19:02,1135,217218,False
battled 2 blm zombies on here earlier but i am ok,0,['BlackLivesMatter'],Twitter for Android,04-12-2017 17:38,13793,433609,False
super sad day today make me smile again and sub 5 free trials get it while you can art naked livecam,0,['BlackLivesMatter'],Twitter for iPhone,28-01-2013 15:06,402,9021,False
say their names michaelbrown breonnataylor georgefloyd etc blacklivesmatter,0,['BlackLivesMatter'],Twitter for iPhone,11-05-2012 02:29,4984,178986,False
this program features works that explore individuality community and the sometimes uneasy relationship between honored,0,"['BlackLivesMatter', 'BreonnaTaylor']",Twitter for iPhone,23-05-2011 18:22,442,10781,False
it is disgusting what people are yelling out such a racist town and i am sure that it is no,0,['BlackLivesMatter'],Twitter Web App,08-11-2018 20:23,411,37872,False
so this nv police chief tells a library they cannot make political statement about blacklivesmatter wi police pull,0,['BlackLivesMatter'],Twitter for iPhone,07-06-2020 12:07,97,59,False
thought of the day accountability thank you blacklivesmatter,0,['BlackLivesMatter'],Twitter Web App,16-02-2020 23:55,77,760,False
these things happen in hrm too protect black women blm,0,['BlackLivesMatter'],Twitter Web App,09-09-2009 04:18,532,40390,False
portlandriots going off on my front step sunday morning i almost had to regulate some nei,0,['BlackLivesMatter'],Twitter Web App,09-09-2009 04:18,532,40390,False
thank you blacklivesmatter,0,['BlackLivesMatter'],Twitter for iPhone,28-01-2013 15:06,402,9021,False
summerofsolidarity event tonight in the jcheights was great glad to see many members of our community coming out t,0,['BLM'],Twitter for iPhone,23-07-2018 16:11,550,7503,False
portlandstrong portlandprotests michaelbrown blm gee what is this portland in action still,0,['BlackLivesMatter'],Twitter for iPhone,28-01-2013 15:06,402,9021,False
where is blm oh that is right they are the ones that shot him,0,"['Chicago', 'Gucci', 'Tesla', 'Dior']",Twitter for Android,10-03-2009 11:28,2464,146409,False
solidarity from sacramento to the north valley support clarissa volasgis who is been locked up at the butte county j,0,['BlackLivesMatter'],Twitter for iPhone,29-10-2016 14:40,7907,63609,False
the trayvon martin law stop this from happening again trayvonmartinlaw blacklivesmatter sign the petition,0,['BlackLivesMatter'],Twitter Web App,09-09-2009 04:18,532,40390,False
register to vote newmusic singersongwriter acapella hiphop trap illuminati rockthevote,0,"['BlackLivesMatter', 'BLM']",Twitter Web App,31-01-2010 18:17,40,29775,False
sometimes the level of confidence some people have in their own ignorance astounds me blacklivesmatter onelove onerace,0,"['BlackLivesMatter', 'BLM']",Twitter Web App,31-01-2010 18:17,40,29775,False
search for topics relevant to you on twitter for people that discussing the same issues create a hub of like minded thinker,0,['BlackLivesMatter'],Twitter for iPhone,25-11-2011 19:43,95,7046,False
this video filmed in 1969 will shock you at how relevant and effectively exposes what certain groups ar,0,['BlackLivesMatter'],Twitter for iPad,23-08-2015 15:53,231,66629,False
11 23pm s powerful speech on black history in oregon ringing through the streets near ppa feel free to t,0,['BlackLivesMatter'],Twitter for Android,20-03-2020 20:04,1829,38770,False
and legitimised the ignorance of hundreds if not thousands of racist idiots on this and other social media plat,0,['BlackLivesMatter'],Twitter for iPhone,05-09-2012 00:59,15842,27016,False
these antifa commies have turned blacklivesmatter into a joke send them straight to russia or china they will be,0,['BlackLivesMatter'],Twitter for iPhone,16-09-2016 12:03,4818,65544,False
the enneagram and mindfulness for social change tuesday august 18 10 am pacific 1 pm eastern presented by tne c,0,"['BlackLivesMatter', 'Antifa']",Twitter for iPad,08-11-2012 19:03,5001,131859,False
golden state warriors head coach talks with and about the league s response to the bla,0,"['MeToo', 'BLM']",Twitter Web App,20-11-2018 14:45,325,25582,False
disagree with the state get kidnapped literally kidnapped stand up to police brutality fight back against injustic,0,['balbriggan'],Twitter for iPhone,27-11-2014 15:45,548,76749,False
looters broke into a chicago mall and are looting the place clean tonight blacklivesmatter,0,"['ZimbabweanLivesMatter', 'BlackLivesMatter']",Twitter for iPhone,18-08-2012 16:11,985,34485,False
blm sound picky,0,['BlackLivesMatter'],Twitter for Android,26-12-2019 15:26,172,198,False
absolutely the wrong message to send to hong kong sundaythoughts sundayservice sundaymotivation,0,['BlackLivesMatter'],Twitter for Android,14-09-2013 18:06,1748,3164,False
4208 8500 transcrowdfund crowdfunding payblacktranswomen lgbtqtogether blacklivesmatter please help black tr,0,['BlackLivesMatter'],Twitter for iPhone,29-04-2018 19:37,1583,33980,False
나는_샘_오취리와_연대합니다 i_stand_with_sam_okyere blacklivesmatter you all are sick he was tired of the blatant racism in korea,0,['GeorgeFloyd'],Twitter for Android,03-07-2019 18:41,661,22663,False
screw spd blm blacklivesmatter defundspd peopleoverproperty america seattle justiceformikebrown,0,['GeorgeFloyd'],Twitter for iPhone,17-01-2010 16:26,1275,18659,False
ccpchina is working with and to create panic and hysteria and use it as a cover to massively expand,0,"['BlackLivesMatter', 'TerroristOrganization', 'Propaganda']",Twitter Web App,11-11-2016 21:53,297,10434,False
a small cardboard campfire has been started s mores have been deployed a protester we need s more community engagement li,0,['BlackLivesMatter'],Twitter Web App,21-08-2019 09:15,435,19312,False
what disappointing double standards where was the political will to enforce the law at the blm melbourne march on 6 j,0,"['MeToo', 'BLM']",Twitter for iPhone,04-07-2012 12:31,558,16149,False
i dead ass used to get 150 200 views on my snapchat stories but ever since i started posting about blm i literall,0,['BlackLivesMatter'],Twitter for Android,06-05-2019 08:30,922,45833,False
list of hbcus i can think of that would greatly appreciate donations shaw university bennett college mississipp,0,['BlackLivesMatter'],Twitter Web App,18-12-2018 22:26,162,64568,False
officers shooting pepper bullets and tear gas from the federal courthouse blacklivesmatter j25 portlandprotests,0,['BlackLivesMatter'],Twitter for iPhone,20-09-2013 04:07,1341,4409,False
blacklivesmatter is a terroristorganization everyone is saying otherwise is a part of the propaganda,0,"['BlackLivesMatter', 'TerroristOrganization', 'Propaganda']",Twitter Web App,11-11-2016 21:53,297,10434,False
liberal democrat mayors asking for federal financial aid after they allowed protests riots to continue in their cities,0,"['Liberals', 'BLM', 'ANTIFA', 'iWillNeverKneel', 'VoteTrump2020']",Twitter for iPhone,24-03-2020 11:47,268,9595,False
bl the former british prime minister tony blair turned public apology into a veritable art form he took it upon h,0,['BlackLivesMatter'],Twitter for iPad,20-05-2013 21:30,2522,312,False
about a year ago since tweeted this blm,0,['BlackLivesMatter'],Twitter Web App,21-08-2019 09:15,435,19312,False
shelter in place day 143 crisis america americanflag blm coronavirus covid19 covid_19 usa usa,0,['BlackLivesMatter'],Twitter for iPhone,25-10-2018 14:54,1270,136078,False
i think we need to reconsider this whole cancelculture that we created simply because its a massive passive aggress,0,"['BlackIsKing', 'chicagoriots', 'ChicagoProtests', 'rioting', 'rioters']",Twitter for Android,06-05-2019 08:30,922,45833,False
the fundamental basis of policing is policing by consent its our responsibility to challenge racial profiling intrusi,0,"['Cowards', 'BLM', 'Antifas', 'SturgisRally']",Twitter for Android,01-03-2009 13:39,17291,143965,False
the system are not nothing to play with but the citizen definitely are not nothing to play with chicago fightforyourrig,0,['BlackLivesMatter'],Twitter for Android,22-05-2015 13:48,467,97097,False
we cannot change the past but we can change the consequences for the better our latest podcast explores our re,0,['BlackLivesMatter'],Twitter for iPhone,20-09-2013 04:07,1341,4409,False
beatles parody about the pedos spot on lyrics pedowood pedoisland,0,['BlackLivesMatter'],Twitter for iPad,02-11-2012 16:31,602,74776,False
if anyone has an alexa i highly recommend you do this portlandprotest pdxprotests blm acab portland,0,['BlackLivesMatter'],Twitter for iPhone,05-09-2012 00:59,15842,27016,False
i love her the voice thanks chicsgoproud blacklivesmatter,0,['BlackLivesMatter'],Twitter for Android,20-04-2013 12:34,2969,216979,False
outstanding art blm blacklivesmatter trumpgestapo gestapotrump portland fedterrorists secretpolice covid19 covi,0,['BlackLivesMatter'],Twitter for iPhone,07-10-2018 10:17,150,73804,False
so proud to be representing our community thank you for featuring us blm blackhistorymonth femaleentrepreneur,0,['BlackLivesMatter'],Twitter Web App,27-06-2012 00:51,935,35549,False
horrifying educational in equal parts as best documentaries are hate to think how might be in aus too,0,['BlackLivesMatter'],Twitter for iPad,31-08-2017 12:10,322,14866,False
potus realdonaldtrump gop dnc foxnews cnn blacklivesmatter antifa isis nyse wsj it was like every othe,0,"['BlackLivesMatter', 'BlackIsKing', 'chicagoriots', 'CHICAGOScanner']",Twitter for iPhone,07-12-2013 18:36,4993,14954,False
blacklivesmatter corneliusfredericks we demand justice for cornelius fredericks via,0,"['BlackIsKing', 'chicagoriots', 'ChicagoProtests', 'rioting', 'rioters']",Twitter for Android,15-08-2009 01:50,400,1758,False
i dreamt an angel by bruce neeley 2020 tereza gillespie 2020 art poetry love peace staysafe st,0,['BlackLivesMatter'],Twitter for Android,24-07-2018 17:06,511,47310,False
this made me lol blm rioters stop spreading your coronavirus people are dying from you spreading coronaviru,0,['BlackLivesMatter'],Twitter for Android,20-08-2011 19:52,4907,105194,False
,0,['BlackLivesMatter'],Twitter Web App,21-08-2019 09:15,435,19312,False
this is a real face of blacklivesmatter,0,"['HBDMaheshBabu', 'TwitterBestFandom', 'BlackLivesMatter']",Twitter for Android,27-04-2020 13:35,15,526,False
we are looking forward to tomorrow s mhtv where will be talking about,0,['BlackLivesMatter'],Twitter Web App,10-11-2013 09:22,3111,42898,False
나는_샘_오취리와_연대합니다 i_stand_with_sam_okyere blacklivesmatter i cannot believe this,0,['BlackLivesMatter'],Twitter for iPhone,20-09-2013 04:07,1341,4409,False
hey the nhk japan s public broadcaster barrier free variety show had,0,['BlackLivesMatter'],Twitter for iPhone,05-04-2015 19:41,287,4499,False
riotous blacklivesmatter protesters suddenly realize they are all white people via,0,"['BlackLivesMatter', 'GarryBurns', 'IsraelFolau', 'RayleneCastle', 'ReligiousFreedom']",Twitter Web App,03-11-2017 09:09,147,2033,False
how is it not illegal for the postmaster general to steal the election lyingtrump blacklivesmatter blacktranslivesmatter,0,"['NYTimes', 'freep', 'DetNews', 'ChicagoTribune']",Twitter Web App,26-07-2020 00:47,703,858,False
anthony what a powerful moving drama by jimmy mcgovern how anthony s life could have been the heart breaking realit,0,['London'],Twitter for Android,28-02-2011 20:56,623,1398,False
actually erica what he did was reduce the benefit from 600 to 400 we_are1,0,['BlackLivesMatter'],Twitter for iPhone,10-07-2017 18:53,738,14773,False
new redhacks out now had a really lovely chat with writer and filmmaker extraordinaire on the ills a,0,['PortlandPolice'],Twitter for Android,07-05-2020 23:16,11,1621,False
have not seen a march like this in weeks fucking amazing chicagoprotests blm blacklivesmatter chi chicago,0,['BlackLivesMatter'],Twitter for Android,26-05-2018 16:20,5792,78551,False
